criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
entropy,9,34,6,0.8708655636541828,0.04166218822354139,1.289,0,OS
entropy,28,22,6,0.7999397631849472,0.11286687535055302,1.603,1,OS
entropy,2,26,9,0.8904171198240896,0.034691132979707974,1.04,2,OS
entropy,15,14,2,0.7243041285246118,0.18644787914004163,1.097,3,OS
entropy,16,29,3,0.6240136511380437,0.23713433236541517,1.127,4,OS
gini,17,36,5,0.8041955335398473,0.1673624162514351,1.149,5,OS
gini,15,37,6,0.7822963194508319,0.16105043694644533,1.244,6,OS
entropy,15,21,8,0.6486419602786502,0.2765198356426849,1.023,7,OS
gini,31,27,7,0.7722175379254558,0.20706547162180322,1.218,8,OS
gini,3,8,9,0.7709529802479507,0.16863840723978787,0.882,9,OS
entropy,1,29,8,0.8707602448662779,0.14112996149404833,0.979,10,OS
gini,5,36,5,0.8540448559988378,0.05935626824810298,1.408,11,OS
entropy,10,38,3,0.8280704779682775,0.10836676574169024,1.457,12,OS
gini,23,18,3,0.8095278350148677,0.1250615552331652,1.274,13,OS
entropy,31,7,4,0.7854910728059594,0.21376578997423556,1.099,14,OS
entropy,13,7,9,0.7044490163025915,0.1942055642928096,1.164,15,OS
entropy,27,33,4,0.7764523756573457,0.19733137628387165,1.697,16,OS
entropy,25,14,3,0.8601569649650649,0.044423846534972014,1.281,17,OS
gini,9,31,5,0.9091451610210706,0.025815656195361827,1.626,18,OS
gini,9,12,6,0.8599404887180782,0.0592181388090801,1.478,19,OS
entropy,20,24,8,0.6049497111282743,0.2979192078164923,1.134,20,OS
entropy,24,25,4,0.8716048164824544,0.030422085256621625,1.606,21,OS
gini,23,21,4,0.7866331761133181,0.1673925580446937,1.421,22,OS
gini,14,25,9,0.7181548858099045,0.21771241154516632,1.435,23,OS
gini,18,34,4,0.8543794759627079,0.0599705022693595,1.415,24,OS
entropy,4,31,4,0.8422423202594185,0.13725789691340112,1.31,25,OS
entropy,17,38,6,0.8547437977124697,0.11093774323366869,1.417,26,OS
entropy,10,35,2,0.8103891343160875,0.1860038665753715,1.862,27,OS
entropy,2,28,6,0.8218550247443656,0.1317437177495933,2.182,28,OS
entropy,20,34,2,0.8990091126751677,0.029626117570510885,1.527,29,OS
entropy,19,31,4,0.7791292196553185,0.20109409139126172,1.156,30,OS
gini,20,26,7,0.7129102502916297,0.2173777500098898,1.466,31,OS
gini,6,24,4,0.7642122490494901,0.19317158779838364,1.416,32,OS
gini,29,37,6,0.8158527007303109,0.1681635526800127,1.549,33,OS
gini,2,31,6,0.7976827312357772,0.13058539577415243,1.37,34,OS
gini,2,31,5,0.8462824772921955,0.037755955443544154,1.106,35,OS
gini,14,22,6,0.8893119737947812,0.03238673990706902,1.363,36,OS
entropy,8,21,3,0.8578721661759061,0.04433066597229083,1.102,37,OS
gini,8,36,7,0.7706959665024214,0.20069718949685092,1.336,38,OS
entropy,17,15,3,0.8691973877447016,0.03667424760945253,1.26,39,OS
gini,31,15,5,0.8286849351770869,0.1296758183776529,1.554,40,OS
